composition,formation_energy,band_gap,delta_e
Tl1 Tm1,-0.2877149225,0.0,-0.2877149225
Ca1 Hg1,-0.533782367483134,0.0,-0.533782367483134
Hg1 La1,-0.466644557483134,0.0,-0.466644557483134
Dy1 Sb1,-1.13506425583333,0.0,-1.13506425583333
Hg1 Li1,-0.347599342483135,0.0,-0.347599342483135
Mg1 Tl1,-0.0342187620833352,0.0,-0.0342187620833352
Tl1 Y1,-0.37295919,0.0,-0.37295919
I1,0.100074475,0.0,0.100074475
As1 Dy1,-1.53561301083333,0.0,-1.53561301083333
Mg1 Tm1,-0.0567626895833349,0.0,-0.0567626895833349
S1 Sr1,-2.29507668200668,2.587,-2.29507668200668
Se1 Sr1,-2.0724931,2.414,-2.0724931
Ca1 S1,-2.31351990700668,2.4,-2.31351990700668
He1,0.030611045,18.39,0.030611045
Pb1 Te1,-0.180984431666666,0.0,-0.180984431666666
Cd1 Pr1,-0.32598958375,0.0,-0.32598958375
Cd1 Pt1,-0.32378412,0.0,-0.32378412
Mg1 S1,-1.57958912659001,2.95,-1.57958912659001
Cr1 N1,-0.437865702671752,0.0,-0.437865702671752
Pb1 Se1,-0.330548885,0.0,-0.330548885
O1 V1,-2.25997276058168,1.191,-2.25997276058168
Hg1 Lu1,-0.434265634983134,0.0,-0.434265634983134
Tl1 Yb1,-0.4970915625,0.0,-0.4970915625
Ca1 In1,-0.48672452,0.0,-0.48672452
Hg1 Mg1,-0.190403187066469,0.0,-0.190403187066469
Mg1 Y1,-0.109400507083335,0.0,-0.109400507083335
Be1 O1,-2.96037920793938,7.021,-2.96037920793938
Al1 Ir1,-0.946320085,0.0,-0.946320085
Au1 Ho1,-0.875037941666665,0.0,-0.875037941666665
Tm1 Zn1,-0.353205805,0.0,-0.353205805
Pa1,0.0167202600000014,0.0,0.0167202600000014
Se1 Tb1,-1.44513221233333,0.0,-1.44513221233333
Mg1 Sr1,-0.056270089583335,0.0,-0.056270089583335
Dy1 Te1,-1.27779941,0.0,-1.27779941
As1 Er1,-1.5182393075,0.0,-1.5182393075
Cd1 Sc1,-0.2991201275,0.0,-0.2991201275
Ga1 Ni1,-0.3757070325,0.0,-0.3757070325
Br1 H1,0.720480125199994,0.0,0.720480125199994
Pd1 Zr1,-0.585041659999999,0.0,-0.585041659999999
Hg1 Mn1,0.364270040620315,0.0,0.364270040620315
N1 Nb1,-0.972483847671754,0.0,-0.972483847671754
P1 Tm1,-1.73042808447997,0.0,-1.73042808447997
P1 Tb1,-1.4093106868133,0.0,-1.4093106868133
Hg1 In1,0.0394400825168655,0.0,0.0394400825168655
Hg1 Te1,0.0138199108502006,0.0,0.0138199108502006
Fe1 Pt1,-0.24032022,0.0,-0.24032022
Cd1 Sm1,-0.32479649375,0.0,-0.32479649375
C1 W1,-0.125658648750001,0.0,-0.125658648750001
Cl1 Cs1,-2.10516701780956,5.181,-2.10516701780956
Y1,0.000665274999999355,0.0,0.000665274999999355
S1 Tb1,-1.82561812934001,0.0,-1.82561812934001
S1 Zn1,-0.956002437006679,2.319,-0.956002437006679
Er1 Sb1,-1.0963251475,0.0,-1.0963251475
As1 Tm1,-1.5026408575,0.0,-1.5026408575
